Date,Price,Open,High,Low,Change %
20-Mar-20,1.4365,1.451,1.4538,1.4149,-1.02%
19-Mar-20,1.4512,1.4505,1.4669,1.4419,0.20%
18-Mar-20,1.4484,1.4242,1.4651,1.4181,1.99%
17-Mar-20,1.4201,1.4016,1.4277,1.3961,1.31%
16-Mar-20,1.4018,1.3835,1.4019,1.3731,1.55%
13-Mar-20,1.3804,1.3925,1.3996,1.3779,-0.89%
12-Mar-20,1.3928,1.3777,1.3965,1.3704,1.09%
11-Mar-20,1.3778,1.3724,1.3796,1.3679,0.39%
10-Mar-20,1.3724,1.3701,1.3798,1.3606,0.15%
09-Mar-20,1.3703,1.3461,1.3761,1.3461,2.08%
06-Mar-20,1.3424,1.3406,1.3439,1.3377,0.13%
05-Mar-20,1.3407,1.3386,1.344,1.3381,0.16%
04-Mar-20,1.3386,1.3384,1.3434,1.3329,0.00%
03-Mar-20,1.3386,1.3325,1.3392,1.3316,0.47%
02-Mar-20,1.3324,1.3414,1.3446,1.3314,-0.55%
28-Feb-20,1.3398,1.339,1.3466,1.3377,0.05%
27-Feb-20,1.3391,1.3333,1.3397,1.3315,0.44%
26-Feb-20,1.3332,1.3281,1.3337,1.3269,0.40%
25-Feb-20,1.3279,1.3294,1.3308,1.3265,-0.11%
24-Feb-20,1.3294,1.3248,1.3309,1.3234,0.53%
21-Feb-20,1.3224,1.3261,1.327,1.32,-0.26%
20-Feb-20,1.3259,1.3219,1.3269,1.3208,0.30%
19-Feb-20,1.322,1.3262,1.3264,1.3213,-0.29%
18-Feb-20,1.3258,1.3233,1.328,1.3231,0.17%
17-Feb-20,1.3235,1.3249,1.3256,1.3223,-0.14%
14-Feb-20,1.3253,1.3267,1.327,1.3232,-0.11%
13-Feb-20,1.3268,1.3248,1.3271,1.3236,0.14%
12-Feb-20,1.325,1.3284,1.3296,1.3232,-0.28%
11-Feb-20,1.3287,1.3316,1.332,1.3273,-0.23%
10-Feb-20,1.3317,1.3303,1.3331,1.3287,0.04%
07-Feb-20,1.3312,1.3282,1.3319,1.3276,0.21%
06-Feb-20,1.3284,1.3279,1.3309,1.3265,0.03%
05-Feb-20,1.328,1.3275,1.3304,1.326,0.05%
04-Feb-20,1.3274,1.3286,1.3303,1.3261,-0.09%
03-Feb-20,1.3286,1.3239,1.3305,1.3229,0.38%
31-Jan-20,1.3236,1.3206,1.3253,1.3192,0.20%
30-Jan-20,1.3209,1.3197,1.3227,1.3187,0.08%
29-Jan-20,1.3198,1.3157,1.3211,1.3153,0.33%
28-Jan-20,1.3155,1.3193,1.3207,1.3151,-0.30%
27-Jan-20,1.3194,1.3146,1.3201,1.3146,0.39%
24-Jan-20,1.3143,1.3128,1.3154,1.3117,0.14%
23-Jan-20,1.3124,1.3134,1.3174,1.3122,-0.09%
22-Jan-20,1.3136,1.3067,1.3154,1.3034,0.51%
21-Jan-20,1.3069,1.3046,1.3081,1.3042,0.16%
20-Jan-20,1.3048,1.3062,1.3074,1.3042,-0.11%
17-Jan-20,1.3063,1.304,1.3075,1.3031,0.16%
16-Jan-20,1.3042,1.3039,1.3058,1.303,0.00%
15-Jan-20,1.3042,1.3061,1.3079,1.3032,-0.15%
14-Jan-20,1.3062,1.3056,1.3081,1.3045,0.05%
13-Jan-20,1.3056,1.305,1.3068,1.3031,0.03%
10-Jan-20,1.3052,1.3055,1.3076,1.3027,-0.03%
09-Jan-20,1.3056,1.304,1.3106,1.3024,0.13%
08-Jan-20,1.3039,1.3004,1.3045,1.2974,0.26%
07-Jan-20,1.3005,1.2961,1.3031,1.2954,0.31%
06-Jan-20,1.2965,1.2984,1.2992,1.2958,-0.28%
03-Jan-20,1.3001,1.298,1.3009,1.2959,0.16%
02-Jan-20,1.298,1.2987,1.3009,1.2968,-0.05%
01-Jan-20,1.2987,1.2983,1.2999,1.2978,-0.01%
